Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.401114491737767,-0.328828404036354,0.228639393448553,0,0,0,5.28323718855656,0.0549182293728724,1.8279648868538E-07,-1.05010041158032E-07,0.0315045524186637,3.45960820667467E-07,0.0854048135989516,0,0,0,0,0,0,package://AAAckermann/meshes/base_link.STL,1,1,1,0.4,0,0,0,0,0,0,package://AAAckermann/meshes/base_link.STL,,Acrylic_base-1;Profile20_75mm-7;Profile20_75mm-6;Profile20_75mm-3;Profile20_75mm-5;Profile20_75mm-4;Profile20_75mm-2;Encoder-2;Encoder-1;Profile20_460mm-1;Encoder_bearing-1;Wheel_Back stucture-2;Encoder_bracket_01-2;Profile20_460mm-2;Wheel_Back stucture-1;Wheel_Back motor gear-1;Encoder_bearing-2;Encoder_bracket_02-1;Profile20_460mm-3;Wheel_Back motor gear-2;Profile20_460mm-4;Profile20_500mm-2;Profile20_500mm-1;Bracket 20-1;Bracket 20-3;Profile20_200mm-2;Profile20_200mm-1;Profile20_190mm-1;Profile20_280mm-1;Wheel_Front_ConnectProfile_print-2;Wheel_Front_ConnectProfile_print-1;Servo_cover-1;Profile20_550mm-9;Profile20_550mm-7;Profile20_550mm-8;Profile20_550mm-3;Profile20_550mm-2;Profile20_550mm-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
front_left,-5.5511E-17,-0.015274,-2.7756E-17,0,0,0,0.24047,0.00024514,4.8706E-21,-8.4703E-21,0.00045262,6.4598E-20,0.00024514,0,0,0,0,0,0,package://AAAckermann/meshes/front_left.STL,0,1,0,0.5,0,0,0,0,0,0,package://AAAckermann/meshes/front_left.STL,,Wheel-2,Origin_front_left_joint,Axis_front_left_joint,front_left_joint,continuous,0.100114914635876,-0.250070257624499,0.198763128382747,3.14159265358979,0.084917930715728,-1.5707963267949,base_link,0,1,0,,,,,,,,,,,,
front_right,2.7756E-17,0.025726,0,0,0,0,0.24047,0.00024514,1.0426E-20,0,0.00045262,4.5261E-20,0.00024514,0,0,0,0,0,0,package://AAAckermann/meshes/front_right.STL,0,1,0,0.5,0,0,0,0,0,0,package://AAAckermann/meshes/front_right.STL,,Wheel-1,Origin_front_right_joint,Axis_front_right_joint,front_right_joint,continuous,0.661114914635897,-0.250070257624499,0.198763128382747,3.14159265358979,-0.692237011731428,1.5707963267949,base_link,0,1,0,,,,,,,,,,,,
left_steering,0.0138646239787439,-0.015299772319003,-0.0211847288398292,0,0,0,0.0405602056975407,1.49357118222033E-05,-3.29797229398612E-06,-7.30145192502467E-06,2.89772463104824E-05,1.3162695944705E-06,3.10994722329789E-05,0,0,0,0,0,0,package://AAAckermann/meshes/left_steering.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://AAAckermann/meshes/left_steering.STL,,Wheel_Front_connector_01-2,Origin_left_steering_joint,Axis_left_steering_joint,left_steering_joint,continuous,0.171114914635944,-0.81382025762463,0.184513128382552,3.14159265358979,0,1.56870378020951,base_link,0,0,1,,,,,,,,,,,,
rear_left,-3.6366E-12,0.025977,6.0918E-13,0,0,0,0.24047,0.00024514,-2.3357E-20,-3.6396E-23,0.00045262,6.6868E-19,0.00024514,0,0,0,0,0,0,package://AAAckermann/meshes/rear_left.STL,0,1,0,0.5,0,0,0,0,0,0,package://AAAckermann/meshes/rear_left.STL,,Wheel-6,Origin_rear_left_joint,Axis_rear_left_joint,rear_left_joint,continuous,0,-0.0367488381424265,-0.0159999999999999,3.14159265358979,1.57056930363849,0,left_steering,0,1,0,,,,,,,,,,,,
right_steering,-0.0138648135893726,-0.0152975648321685,-0.0211847288398291,0,0,0,0.0405602056975407,1.49389201181324E-05,3.30295402364132E-06,7.30156870540009E-06,2.89780784449727E-05,1.3149100127656E-06,3.11035126633982E-05,0,0,0,0,0,0,package://AAAckermann/meshes/right_steering.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://AAAckermann/meshes/right_steering.STL,,Wheel_Front_connector_02-2,Origin_right_steering_joint,Axis_right_steering_joint,right_steering_joint,continuous,0.631114914635943,-0.81382025762463,0.184513128382552,3.14159265358979,0,-1.56162994548732,base_link,0,0,1,,,,,,,,,,,,
rear_right,3.6822E-12,0.025722,-1.1343E-12,0,0,0,0.24047,0.00024514,-1.5907E-20,2.1176E-21,0.00045262,6.8906E-19,0.00024514,0,0,0,0,0,0,package://AAAckermann/meshes/rear_right.STL,0,1,0,0.5,0,0,0,0,0,0,package://AAAckermann/meshes/rear_right.STL,,Wheel-5,Origin_rear_right_joint,Axis_rear_right_joint,rear_right_joint,continuous,0,-0.0370034448281129,-0.0159999999999995,3.14159265358979,-1.55976234848309,0,right_steering,0,1,0,,,,,,,,,,,,
