Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0651994405179663,4.22434509872449E-07,-0.0239634712761258,0,0,0,5.25555128497609,0.0414328478617682,-1.82796488685318E-07,3.45960820664179E-07,0.0417152661425413,1.05010040923958E-07,0.0821338918053197,0,0,0,0,0,0,package://AAAckermann/meshes/base_link.STL,1,1,1,0.4,0,0,0,0,0,0,package://AAAckermann/meshes/base_link.STL,,Acrylic_base-1;Profile20_75mm-7;Profile20_75mm-6;Profile20_75mm-3;Profile20_75mm-5;Profile20_75mm-4;Profile20_75mm-2;Encoder-2;Encoder-1;Profile20_460mm-1;Encoder_bearing-1;Wheel_Back stucture-2;Encoder_bracket_01-2;Profile20_460mm-2;Wheel_Back stucture-1;Wheel_Back motor gear-1;Encoder_bearing-2;Encoder_bracket_02-1;Profile20_460mm-3;Wheel_Back motor gear-2;Profile20_460mm-4;Profile20_500mm-2;Profile20_500mm-1;Bracket 20-1;Bracket 20-3;Profile20_200mm-2;Profile20_200mm-1;Profile20_190mm-1;Profile20_280mm-1;Wheel_Front_ConnectProfile_print-2;Wheel_Front_ConnectProfile_print-1;Servo_cover-1;acrylic_ref_ackermann-1;Profile20_500mm-3;Profile20_500mm-5;Profile20_550mm-6;Profile20_550mm-5;Profile20_550mm-7;Profile20_550mm-8,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
front_left,3.8858E-15,-0.015274,4.6435E-14,0,0,0,0.24047,0.00024514,5.4339E-21,-6.7763E-21,0.00045262,6.4709E-20,0.00024514,0,0,0,0,0,0,package://AAAckermann/meshes/front_left.STL,0,1,0,0.5,0,0,0,0,0,0,package://AAAckermann/meshes/front_left.STL,,Wheel-2,Origin_front_left_joint,Axis_front_left_joint,front_left_joint,continuous,0.0190000000000679,0.301000000000045,-0.0695000000000887,3.14159265358979,0.0849179307157281,3.14159265358979,base_link,0,1,0,,,,,,,,,,,,
front_right,-2.9643E-14,0.025726,3.5749E-14,0,0,0,0.24047,0.00024514,5.2554E-21,0,0.00045262,4.3994E-20,0.00024514,0,0,0,0,0,0,package://AAAckermann/meshes/front_right.STL,0,1,0,0.5,0,0,0,0,0,0,package://AAAckermann/meshes/front_right.STL,,Wheel-1,Origin_front_right_joint,Axis_front_right_joint,front_right_joint,continuous,0.0190000000000679,-0.259999999999977,-0.0695000000000887,3.14159265358979,-0.692237011731428,0,base_link,0,1,0,,,,,,,,,,,,
left_steering,0.0121532099874294,-0.0166916241895938,-0.0211847288398316,0,0,0,0.0405602056975407,1.43958495481578E-05,-1.73339990683825E-06,-7.11935154287877E-06,2.95171085845272E-05,2.08772590818048E-06,3.10994722329793E-05,0,0,0,0,0,0,package://AAAckermann/meshes/left_steering.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://AAAckermann/meshes/left_steering.STL,,Wheel_Front_connector_01-2,Origin_left_steering_joint,Axis_left_steering_joint,left_steering_joint,continuous,-0.544750000000063,0.229999999999977,-0.0837500000002837,3.14159265358979,0,-0.00209254658538632,base_link,0,0,1,,,,,,,,,,,,
rear_left,-1.5192E-06,0.025619,0.006692,0,0,0,0.24047,0.00024514,-4.9967E-09,-5.3615E-10,0.00045026,2.201E-05,0.0002475,0,0,0,0,0,0,package://AAAckermann/meshes/rear_left.STL,0,1,0,0.5,0,0,0,0,0,0,package://AAAckermann/meshes/rear_left.STL,,Wheel-6,Origin_rear_left_joint,Axis_rear_left_joint,rear_left_joint,continuous,0,-0.0367488381424265,-0.0159999999999999,3.14159265358979,1.57056930363849,0,left_steering,0,1,0,,,,,,,,,,,,
right_steering,-0.0138648104691156,-0.0152975676601856,-0.021184728839829,0,0,0,0.0405602056975408,1.49389187707206E-05,3.30295116006257E-06,7.3015684371967E-06,2.89780797923847E-05,1.31491150207248E-06,3.11035126633983E-05,0,0,0,0,0,0,package://AAAckermann/meshes/right_steering.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://AAAckermann/meshes/right_steering.STL,,Wheel_Front_connector_02-2,Origin_right_steering_joint,Axis_right_steering_joint,right_steering_joint,continuous,-0.544750000000063,-0.230000000000023,-0.0837500000002836,3.14159265358979,0,-3.13242627228221,base_link,0,0,1,,,,,,,,,,,,
rear_right,1.415E-10,0.025722,1.2793E-08,0,0,0,0.24047,0.00024514,4.6696E-13,9.4021E-20,0.00045262,4.2319E-11,0.00024514,0,0,0,0,0,0,package://AAAckermann/meshes/rear_right.STL,0,1,0,0.5,0,0,0,0,0,0,package://AAAckermann/meshes/rear_right.STL,,Wheel-5,Origin_rear_right_joint,Axis_rear_right_joint,rear_right_joint,continuous,0,-0.0370034448281129,-0.0159999999999995,3.14159265358979,-1.55976234848309,0,right_steering,0,1,0,,,,,,,,,,,,
