Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0162517743606357,-0.125779259246447,0.0406114984943946,0,0,0,7.55917618566118,0.0520522804369956,-9.40235364052088E-17,-5.71270079519546E-14,0.0387382473112889,-4.93932954490218E-08,0.0761652080716073,0,0,0,0,0,0,package://Holonomic/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Holonomic/meshes/base_link.STL,,Profile20_545mm-1;Profile20_500mm-5;Profile20_500mm-6;Profile20_545mm-2;Profile20_500mm-7;Profile20_500mm-8;Holonomic_rod-4;Holonomic_EncoderHolder-3;Profile20_500mm-4;Holonomic_EncoderHolder-2;Holonomic_rod-3;Holonomic_rod-1;Holonomic_EncoderHolder-1;Profile20_500mm-2;Holonomic_rod-2;Holonomic_EncoderHolder-4;Acrylic_fornt wheel-1;Profile20_110mm-4;Profile20_110mm-1;Profile20_110mm-2;acrylic camera support-1;Profile20_110mm-3;controlbox_holonomic-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
wheel_fr_right,-3.2357172496944E-12,4.44089209850063E-16,-0.0264473304136224,0,0,0,0.321375664058357,9.13370307716739E-05,-1.18507868987411E-19,1.88592248105576E-18,9.13370307716765E-05,7.66936090323006E-17,0.00011244499645404,0,0,0,0,0,0,package://Holonomic/meshes/wheel_fr_right.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://Holonomic/meshes/wheel_fr_right.STL,,Wheel Final-4/radial ball bearing_68_am-1;Wheel Final-4/Rollers-1;Wheel Final-4/radial ball bearing_68_am-2;Wheel Final-4/Spacer-1;Wheel Final-4/hex nut style 1_am-2;Wheel Final-4/hex nut style 1_am-1;Wheel Final-4/radial ball bearing_68_am-7;Wheel Final-4/radial ball bearing_68_am-5;Wheel Final-4/radial ball bearing_68_am-4;Wheel Final-4/radial ball bearing_68_am-6;Wheel Final-4/radial ball bearing_68_am-3;Wheel Final-4/hex nut style 1_am-10;Wheel Final-4/hex nut style 1_am-9;Wheel Final-4/hex nut style 1_am-11;Wheel Final-4/hex nut style 1_am-8;Wheel Final-4/radial ball bearing_68_am-14;Wheel Final-4/radial ball bearing_68_am-13;Wheel Final-4/hex nut style 1_am-12;Wheel Final-4/hex nut style 1_am-5;Wheel Final-4/hex nut style 1_am-4;Wheel Final-4/radial ball bearing_68_am-11;Wheel Final-4/hex nut style 1_am-13;Wheel Final-4/hex nut style 1_am-7;Wheel Final-4/hex nut style 1_am-6;Wheel Final-4/radial ball bearing_68_am-12;Wheel Final-4/radial ball bearing_68_am-10;Wheel Final-4/radial ball bearing_68_am-9;Wheel Final-4/radial ball bearing_68_am-8;Wheel Final-4/Rollers-5;Wheel Final-4/Rollers-10;Wheel Final-4/Rollers-2;Wheel Final-4/Rollers-4;Wheel Final-4/Rollers-Axis-12;Wheel Final-4/Rollers-8;Wheel Final-4/Rollers-9;Wheel Final-4/Rollers-12;Wheel Final-4/Rollers-7;Wheel Final-4/Rollers-Axis-11;Wheel Final-4/Rollers-11;Wheel Final-4/Rollers-6;Wheel Final-4/Rollers-Axis-9;Wheel Final-4/Rollers-Axis-10;Wheel Final-4/Rollers-Axis-6;Wheel Final-4/Rollers-Axis-5;Wheel Final-4/Rollers-3;Wheel Final-4/Rollers-Axis-4;Wheel Final-4/Rollers-Axis-7;Wheel Final-4/Rollers-Axis-8;Wheel Final-4/Rollers-Axis-3;Wheel Final-4/hex nut style 1_am-14;Wheel Final-4/radial ball bearing_68_am-22;Wheel Final-4/radial ball bearing_68_am-20;Wheel Final-4/radial ball bearing_68_am-16;Wheel Final-4/radial ball bearing_68_am-17;Wheel Final-4/hex nut style 1_am-18;Wheel Final-4/radial ball bearing_68_am-21;Wheel Final-4/hex nut style 1_am-20;Wheel Final-4/Rollers-Axis-2;Wheel Final-4/hex nut style 1_am-22;Wheel Final-4/hex nut style 1_am-17;Wheel Final-4/radial ball bearing_68_am-23;Wheel Final-4/radial ball bearing_68_am-24;Wheel Final-4/hex nut style 1_am-21;Wheel Final-4/hex nut style 1_am-16;Wheel Final-4/radial ball bearing_68_am-19;Wheel Final-4/hex nut style 1_am-24;Wheel Final-4/radial ball bearing_68_am-18;Wheel Final-4/radial ball bearing_68_am-15;Wheel Final-4/hex nut style 1_am-23;Wheel Final-4/hex nut style 1_am-19;Wheel Final-4/hex nut style 1_am-15;Wheel Final-4/Mecanum Sneh plate-1;Wheel Final-4/Rollers-Axis-1;Wheel Final-4/Mecanum Sneh plate-2;Wheel Final-4/hex nut style 1_am-3,Origin_Joint_fr_right,Axis_Joint_fr_right,joint_fr_right,continuous,0.195390712673444,0.172500000000043,-0.0860000000000453,1.5707963267949,0,1.5707963267949,base_link,0,0,-1,,,,,,,,,,,,
wheel_bk_right,3.23541193836263E-12,-4.44089209850063E-16,-0.0264473304136225,0,0,0,0.321375664058357,9.13370307716793E-05,4.39225623003153E-19,8.09466455494967E-19,9.13370307716796E-05,-7.55583207603397E-17,0.000112444996454045,0,0,0,0,0,0,package://Holonomic/meshes/wheel_bk_right.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://Holonomic/meshes/wheel_bk_right.STL,,Wheel Final-3/radial ball bearing_68_am-1;Wheel Final-3/Rollers-1;Wheel Final-3/radial ball bearing_68_am-2;Wheel Final-3/Spacer-1;Wheel Final-3/hex nut style 1_am-2;Wheel Final-3/hex nut style 1_am-1;Wheel Final-3/radial ball bearing_68_am-7;Wheel Final-3/radial ball bearing_68_am-5;Wheel Final-3/radial ball bearing_68_am-4;Wheel Final-3/radial ball bearing_68_am-6;Wheel Final-3/radial ball bearing_68_am-3;Wheel Final-3/hex nut style 1_am-10;Wheel Final-3/hex nut style 1_am-9;Wheel Final-3/hex nut style 1_am-11;Wheel Final-3/hex nut style 1_am-8;Wheel Final-3/radial ball bearing_68_am-14;Wheel Final-3/radial ball bearing_68_am-13;Wheel Final-3/hex nut style 1_am-12;Wheel Final-3/hex nut style 1_am-5;Wheel Final-3/hex nut style 1_am-4;Wheel Final-3/radial ball bearing_68_am-11;Wheel Final-3/hex nut style 1_am-13;Wheel Final-3/hex nut style 1_am-7;Wheel Final-3/hex nut style 1_am-6;Wheel Final-3/radial ball bearing_68_am-12;Wheel Final-3/radial ball bearing_68_am-10;Wheel Final-3/radial ball bearing_68_am-9;Wheel Final-3/radial ball bearing_68_am-8;Wheel Final-3/Rollers-5;Wheel Final-3/Rollers-10;Wheel Final-3/Rollers-2;Wheel Final-3/Rollers-4;Wheel Final-3/Rollers-Axis-12;Wheel Final-3/Rollers-8;Wheel Final-3/Rollers-9;Wheel Final-3/Rollers-12;Wheel Final-3/Rollers-7;Wheel Final-3/Rollers-Axis-11;Wheel Final-3/Rollers-11;Wheel Final-3/Rollers-6;Wheel Final-3/Rollers-Axis-9;Wheel Final-3/Rollers-Axis-10;Wheel Final-3/Rollers-Axis-6;Wheel Final-3/Rollers-Axis-5;Wheel Final-3/Rollers-3;Wheel Final-3/Rollers-Axis-4;Wheel Final-3/Rollers-Axis-7;Wheel Final-3/Rollers-Axis-8;Wheel Final-3/Rollers-Axis-3;Wheel Final-3/hex nut style 1_am-14;Wheel Final-3/radial ball bearing_68_am-22;Wheel Final-3/radial ball bearing_68_am-20;Wheel Final-3/radial ball bearing_68_am-16;Wheel Final-3/radial ball bearing_68_am-17;Wheel Final-3/hex nut style 1_am-18;Wheel Final-3/radial ball bearing_68_am-21;Wheel Final-3/hex nut style 1_am-20;Wheel Final-3/Rollers-Axis-2;Wheel Final-3/hex nut style 1_am-22;Wheel Final-3/hex nut style 1_am-17;Wheel Final-3/radial ball bearing_68_am-23;Wheel Final-3/radial ball bearing_68_am-24;Wheel Final-3/hex nut style 1_am-21;Wheel Final-3/hex nut style 1_am-16;Wheel Final-3/radial ball bearing_68_am-19;Wheel Final-3/hex nut style 1_am-24;Wheel Final-3/radial ball bearing_68_am-18;Wheel Final-3/radial ball bearing_68_am-15;Wheel Final-3/hex nut style 1_am-23;Wheel Final-3/hex nut style 1_am-19;Wheel Final-3/hex nut style 1_am-15;Wheel Final-3/Mecanum Sneh plate-1;Wheel Final-3/Rollers-Axis-1;Wheel Final-3/Mecanum Sneh plate-2;Wheel Final-3/hex nut style 1_am-3,Origin_Joint_bk_right,Axis_Joint_bk_right,joint_bk_right,continuous,0.195390712673444,-0.192499999999912,-0.0860000000000453,-1.5707963267949,0,-1.5707963267949,base_link,0,0,-1,,,,,,,,,,,,
wheel_fr_left,3.23568949411879E-12,-6.66133814775094E-16,-0.0264433822598773,0,0,0,0.321375664058358,9.13370307716825E-05,-8.72325403271903E-19,-7.3690255024894E-19,9.13370307716846E-05,-7.34396237244939E-17,0.00011244499645405,0,0,0,0,0,0,package://Holonomic/meshes/wheel_fr_left.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://Holonomic/meshes/wheel_fr_left.STL,,Wheel Final-1/radial ball bearing_68_am-1;Wheel Final-1/Rollers-1;Wheel Final-1/radial ball bearing_68_am-2;Wheel Final-1/Spacer-1;Wheel Final-1/hex nut style 1_am-2;Wheel Final-1/hex nut style 1_am-1;Wheel Final-1/radial ball bearing_68_am-7;Wheel Final-1/radial ball bearing_68_am-5;Wheel Final-1/radial ball bearing_68_am-4;Wheel Final-1/radial ball bearing_68_am-6;Wheel Final-1/radial ball bearing_68_am-3;Wheel Final-1/hex nut style 1_am-10;Wheel Final-1/hex nut style 1_am-9;Wheel Final-1/hex nut style 1_am-11;Wheel Final-1/hex nut style 1_am-8;Wheel Final-1/radial ball bearing_68_am-14;Wheel Final-1/radial ball bearing_68_am-13;Wheel Final-1/hex nut style 1_am-12;Wheel Final-1/hex nut style 1_am-5;Wheel Final-1/hex nut style 1_am-4;Wheel Final-1/radial ball bearing_68_am-11;Wheel Final-1/hex nut style 1_am-13;Wheel Final-1/hex nut style 1_am-7;Wheel Final-1/hex nut style 1_am-6;Wheel Final-1/radial ball bearing_68_am-12;Wheel Final-1/radial ball bearing_68_am-10;Wheel Final-1/radial ball bearing_68_am-9;Wheel Final-1/radial ball bearing_68_am-8;Wheel Final-1/Rollers-5;Wheel Final-1/Rollers-10;Wheel Final-1/Rollers-2;Wheel Final-1/Rollers-4;Wheel Final-1/Rollers-Axis-12;Wheel Final-1/Rollers-8;Wheel Final-1/Rollers-9;Wheel Final-1/Rollers-12;Wheel Final-1/Rollers-7;Wheel Final-1/Rollers-Axis-11;Wheel Final-1/Rollers-11;Wheel Final-1/Rollers-6;Wheel Final-1/Rollers-Axis-9;Wheel Final-1/Rollers-Axis-10;Wheel Final-1/Rollers-Axis-6;Wheel Final-1/Rollers-Axis-5;Wheel Final-1/Rollers-3;Wheel Final-1/Rollers-Axis-4;Wheel Final-1/Rollers-Axis-7;Wheel Final-1/Rollers-Axis-8;Wheel Final-1/Rollers-Axis-3;Wheel Final-1/hex nut style 1_am-14;Wheel Final-1/radial ball bearing_68_am-22;Wheel Final-1/radial ball bearing_68_am-20;Wheel Final-1/radial ball bearing_68_am-16;Wheel Final-1/radial ball bearing_68_am-17;Wheel Final-1/hex nut style 1_am-18;Wheel Final-1/radial ball bearing_68_am-21;Wheel Final-1/hex nut style 1_am-20;Wheel Final-1/Rollers-Axis-2;Wheel Final-1/hex nut style 1_am-22;Wheel Final-1/hex nut style 1_am-17;Wheel Final-1/radial ball bearing_68_am-23;Wheel Final-1/radial ball bearing_68_am-24;Wheel Final-1/hex nut style 1_am-21;Wheel Final-1/hex nut style 1_am-16;Wheel Final-1/radial ball bearing_68_am-19;Wheel Final-1/hex nut style 1_am-24;Wheel Final-1/radial ball bearing_68_am-18;Wheel Final-1/radial ball bearing_68_am-15;Wheel Final-1/hex nut style 1_am-23;Wheel Final-1/hex nut style 1_am-19;Wheel Final-1/hex nut style 1_am-15;Wheel Final-1/Mecanum Sneh plate-1;Wheel Final-1/Rollers-Axis-1;Wheel Final-1/Mecanum Sneh plate-2;Wheel Final-1/hex nut style 1_am-3,Origin_Joint_fr_left,Axis_Joint_fr_left,joint_fr_left,continuous,-0.195390712673509,0.172500000000043,-0.0860000000000444,1.5707963267949,0,-1.5707963267949,base_link,0,0,1,,,,,,,,,,,,
wheel_bk_left,3.23541193836263E-12,-6.66133814775094E-16,-0.0264433822598771,0,0,0,0.321375664058358,9.13370307716971E-05,7.39263638774064E-19,-4.8978063844644E-18,9.13370307716937E-05,-7.54562334477455E-17,0.000112444996454064,0,0,0,0,0,0,package://Holonomic/meshes/wheel_bk_left.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://Holonomic/meshes/wheel_bk_left.STL,,Wheel Final-2/radial ball bearing_68_am-1;Wheel Final-2/Rollers-1;Wheel Final-2/radial ball bearing_68_am-2;Wheel Final-2/Spacer-1;Wheel Final-2/hex nut style 1_am-2;Wheel Final-2/hex nut style 1_am-1;Wheel Final-2/radial ball bearing_68_am-7;Wheel Final-2/radial ball bearing_68_am-5;Wheel Final-2/radial ball bearing_68_am-4;Wheel Final-2/radial ball bearing_68_am-6;Wheel Final-2/radial ball bearing_68_am-3;Wheel Final-2/hex nut style 1_am-10;Wheel Final-2/hex nut style 1_am-9;Wheel Final-2/hex nut style 1_am-11;Wheel Final-2/hex nut style 1_am-8;Wheel Final-2/radial ball bearing_68_am-14;Wheel Final-2/radial ball bearing_68_am-13;Wheel Final-2/hex nut style 1_am-12;Wheel Final-2/hex nut style 1_am-5;Wheel Final-2/hex nut style 1_am-4;Wheel Final-2/radial ball bearing_68_am-11;Wheel Final-2/hex nut style 1_am-13;Wheel Final-2/hex nut style 1_am-7;Wheel Final-2/hex nut style 1_am-6;Wheel Final-2/radial ball bearing_68_am-12;Wheel Final-2/radial ball bearing_68_am-10;Wheel Final-2/radial ball bearing_68_am-9;Wheel Final-2/radial ball bearing_68_am-8;Wheel Final-2/Rollers-5;Wheel Final-2/Rollers-10;Wheel Final-2/Rollers-2;Wheel Final-2/Rollers-4;Wheel Final-2/Rollers-Axis-12;Wheel Final-2/Rollers-8;Wheel Final-2/Rollers-9;Wheel Final-2/Rollers-12;Wheel Final-2/Rollers-7;Wheel Final-2/Rollers-Axis-11;Wheel Final-2/Rollers-11;Wheel Final-2/Rollers-6;Wheel Final-2/Rollers-Axis-9;Wheel Final-2/Rollers-Axis-10;Wheel Final-2/Rollers-Axis-6;Wheel Final-2/Rollers-Axis-5;Wheel Final-2/Rollers-3;Wheel Final-2/Rollers-Axis-4;Wheel Final-2/Rollers-Axis-7;Wheel Final-2/Rollers-Axis-8;Wheel Final-2/Rollers-Axis-3;Wheel Final-2/hex nut style 1_am-14;Wheel Final-2/radial ball bearing_68_am-22;Wheel Final-2/radial ball bearing_68_am-20;Wheel Final-2/radial ball bearing_68_am-16;Wheel Final-2/radial ball bearing_68_am-17;Wheel Final-2/hex nut style 1_am-18;Wheel Final-2/radial ball bearing_68_am-21;Wheel Final-2/hex nut style 1_am-20;Wheel Final-2/Rollers-Axis-2;Wheel Final-2/hex nut style 1_am-22;Wheel Final-2/hex nut style 1_am-17;Wheel Final-2/radial ball bearing_68_am-23;Wheel Final-2/radial ball bearing_68_am-24;Wheel Final-2/hex nut style 1_am-21;Wheel Final-2/hex nut style 1_am-16;Wheel Final-2/radial ball bearing_68_am-19;Wheel Final-2/hex nut style 1_am-24;Wheel Final-2/radial ball bearing_68_am-18;Wheel Final-2/radial ball bearing_68_am-15;Wheel Final-2/hex nut style 1_am-23;Wheel Final-2/hex nut style 1_am-19;Wheel Final-2/hex nut style 1_am-15;Wheel Final-2/Mecanum Sneh plate-1;Wheel Final-2/Rollers-Axis-1;Wheel Final-2/Mecanum Sneh plate-2;Wheel Final-2/hex nut style 1_am-3,Origin_Joint_bk_left,Axis_Joint_bk_left,joint_bk_left,continuous,-0.195390712673509,-0.192499999999912,-0.0860000000000444,1.5707963267949,0,-1.5707963267949,base_link,0,0,1,,,,,,,,,,,,
folk_left,0.177964644657732,0.0675000269663057,0.0100000000001953,0,0,0,0.524544939385207,4.21229162907784E-05,-2.23935309384782E-19,4.96407282593822E-18,0.0132439651239293,2.33946512544538E-16,0.0132439651530278,0,0,0,0,0,0,package://Holonomic/meshes/folk_left.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Holonomic/meshes/folk_left.STL,,Profile20_550mm-1;Profile20_550mm-2,Origin_folk_left_fixed,Axis_folk_left_fixed,folk_left_fixed,fixed,0,0.257035355339075,0,0,0,1.5707963267949,base_link,0,0,0,,,,,,,,,,,,
folk_right,0.177964644657732,-0.0674999730337402,0.0100000000002882,0,0,0,0.524544939385207,4.21229162907784E-05,-2.23935447143364E-19,4.96407282593832E-18,0.0132439651239293,2.33946633515815E-16,0.0132439651530278,0,0,0,0,0,0,package://Holonomic/meshes/folk_right.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Holonomic/meshes/folk_right.STL,,Profile20_550mm-3;Profile20_550mm-4,Origin_folk_right_fixed,Axis_folk_right_fixed,folk_right_fixed,fixed,0,0.257035355339075,0,0,0,1.5707963267949,base_link,0,0,0,,,,,,,,,,,,
