Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.41,0.22101,0.38486,0,0,0,4.2012,0.033885,2.7531E-07,-6.1274E-08,0.077237,1.5364E-06,0.044195,0,0,0,0,0,0,package://DiffDrive_update/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://DiffDrive_update/meshes/base_link.STL,,caster-2inch-6;Profile20_75mm-3;caster-2inch-8;Wheel_Back motor gear-1;Profile20_75mm-4;mini_wheel_DiffDrive-2;mini_wheel_DiffDrive-1;caster-2inch-5;caster-2inch-7;mini_wheel_DiffDrive-4;Wheel_Back stucture-2;mini_wheel_DiffDrive-3;Wheel_Back stucture-1;Acrylic_base_DiffDrive-2;Wheel_Back motor gear-2;Profile20_500mm-2;Profile20_460mm-3;Profile20_460mm-1;Profile20_460mm-5;Profile20_460mm-4;Profile20_460mm-2;Profile20_500mm-1;Profile20_75mm-1;Profile20_460mm-6;Bracket 20-1;Profile20_75mm-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Wheel_left,0,0.025726,0,0,0,0,0.24047,0.00024514,5.1275E-20,0,0.00045262,-5.5784E-20,0.00024514,0,0,0,0,0,0,package://DiffDrive_update/meshes/Wheel_left.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://DiffDrive_update/meshes/Wheel_left.STL,,Wheel-2,Origin_Joint_left2,Axis_Joint_left2,Joint_left,continuous,-0.249999999999933,0.0305000000006919,-0.000999999999839241,3.14159265358979,0.795882153060524,-1.5707963267949,base_link,0,1,0,,,,,,,,,,,,
Wheel_right,5.5511E-17,0.025726,5.5511E-17,0,0,0,0.24047,0.00024514,4.2686E-21,-6.7763E-21,0.00045262,1.5997E-20,0.00024514,0,0,0,0,0,0,package://DiffDrive_update/meshes/Wheel_right.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://DiffDrive_update/meshes/Wheel_right.STL,,Wheel-1,Origin_Joint_right2,Axis_Joint_right,Joint_right,continuous,0.250000000000088,0.0305000000006919,-0.000999999999862333,3.14159265358979,1.03367076842044,1.5707963267949,base_link,0,1,0,,,,,,,,,,,,
