Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-1.61679835075645E-08,0.129901363247374,-0.00874403559770032,0,0,0,3.34064808867752,0.0576995775576278,5.10236521313111E-19,-5.64437487412692E-14,0.0133526650283985,-4.8820083846232E-08,0.0706132037943649,0,0,0,0,0,0,package://Holonomic/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Holonomic/meshes/base_link.STL,,Profile20_545mm-1;Profile20_500mm-5;Profile20_500mm-6;Profile20_545mm-2;Profile20_500mm-7;Profile20_500mm-8;Holonomic_rod-4;Holonomic_EncoderHolder-3;Profile20_500mm-4;Holonomic_EncoderHolder-2;Holonomic_rod-3;Holonomic_rod-1;Holonomic_EncoderHolder-1;Profile20_500mm-2;Holonomic_rod-2;Holonomic_EncoderHolder-4;Acrylic_fornt wheel-1;Profile20_550mm-3;Profile20_550mm-1;Profile20_550mm-2;Profile20_550mm-4,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
wheel_fr_right,5.55111512312578E-17,2.77555756156289E-16,-0.0264473304136225,0,0,0,0.321375664058356,9.13370307716635E-05,-1.6786285943012E-18,4.70799500649492E-18,9.13370307716673E-05,7.85633471767453E-17,0.000112444996454029,0,0,0,0,0,0,package://Holonomic/meshes/wheel_fr_right.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://Holonomic/meshes/wheel_fr_right.STL,,Wheel Final-4/radial ball bearing_68_am-1;Wheel Final-4/Rollers-1;Wheel Final-4/radial ball bearing_68_am-2;Wheel Final-4/Spacer-1;Wheel Final-4/hex nut style 1_am-2;Wheel Final-4/hex nut style 1_am-1;Wheel Final-4/radial ball bearing_68_am-7;Wheel Final-4/radial ball bearing_68_am-5;Wheel Final-4/radial ball bearing_68_am-4;Wheel Final-4/radial ball bearing_68_am-6;Wheel Final-4/radial ball bearing_68_am-3;Wheel Final-4/hex nut style 1_am-10;Wheel Final-4/hex nut style 1_am-9;Wheel Final-4/hex nut style 1_am-11;Wheel Final-4/hex nut style 1_am-8;Wheel Final-4/radial ball bearing_68_am-14;Wheel Final-4/radial ball bearing_68_am-13;Wheel Final-4/hex nut style 1_am-12;Wheel Final-4/hex nut style 1_am-5;Wheel Final-4/hex nut style 1_am-4;Wheel Final-4/radial ball bearing_68_am-11;Wheel Final-4/hex nut style 1_am-13;Wheel Final-4/hex nut style 1_am-7;Wheel Final-4/hex nut style 1_am-6;Wheel Final-4/radial ball bearing_68_am-12;Wheel Final-4/radial ball bearing_68_am-10;Wheel Final-4/radial ball bearing_68_am-9;Wheel Final-4/radial ball bearing_68_am-8;Wheel Final-4/Rollers-5;Wheel Final-4/Rollers-10;Wheel Final-4/Rollers-2;Wheel Final-4/Rollers-4;Wheel Final-4/Rollers-Axis-12;Wheel Final-4/Rollers-8;Wheel Final-4/Rollers-9;Wheel Final-4/Rollers-12;Wheel Final-4/Rollers-7;Wheel Final-4/Rollers-Axis-11;Wheel Final-4/Rollers-11;Wheel Final-4/Rollers-6;Wheel Final-4/Rollers-Axis-9;Wheel Final-4/Rollers-Axis-10;Wheel Final-4/Rollers-Axis-6;Wheel Final-4/Rollers-Axis-5;Wheel Final-4/Rollers-3;Wheel Final-4/Rollers-Axis-4;Wheel Final-4/Rollers-Axis-7;Wheel Final-4/Rollers-Axis-8;Wheel Final-4/Rollers-Axis-3;Wheel Final-4/hex nut style 1_am-14;Wheel Final-4/radial ball bearing_68_am-22;Wheel Final-4/radial ball bearing_68_am-20;Wheel Final-4/radial ball bearing_68_am-16;Wheel Final-4/radial ball bearing_68_am-17;Wheel Final-4/hex nut style 1_am-18;Wheel Final-4/radial ball bearing_68_am-21;Wheel Final-4/hex nut style 1_am-20;Wheel Final-4/Rollers-Axis-2;Wheel Final-4/hex nut style 1_am-22;Wheel Final-4/hex nut style 1_am-17;Wheel Final-4/radial ball bearing_68_am-23;Wheel Final-4/radial ball bearing_68_am-24;Wheel Final-4/hex nut style 1_am-21;Wheel Final-4/hex nut style 1_am-16;Wheel Final-4/radial ball bearing_68_am-19;Wheel Final-4/hex nut style 1_am-24;Wheel Final-4/radial ball bearing_68_am-18;Wheel Final-4/radial ball bearing_68_am-15;Wheel Final-4/hex nut style 1_am-23;Wheel Final-4/hex nut style 1_am-19;Wheel Final-4/hex nut style 1_am-15;Wheel Final-4/Mecanum Sneh plate-1;Wheel Final-4/Rollers-Axis-1;Wheel Final-4/Mecanum Sneh plate-2;Wheel Final-4/hex nut style 1_am-3,Origin_Joint_fr_right,Axis_Joint_fr_right,joint_fr_right,continuous,0.195390712673452,0.172500000000024,-0.0850000000000468,1.5707963267949,0,1.5707963267949,base_link,0,0,-1,,,,,,,,,,,,
wheel_bk_right,-6.66133814775094E-16,-2.77555756156289E-16,-0.0264473304136224,0,0,0,0.321375664058355,9.1337030771674E-05,-4.80575675812066E-19,-1.04819878597541E-18,9.13370307716749E-05,-7.76318842210383E-17,0.00011244499645404,0,0,0,0,0,0,package://Holonomic/meshes/wheel_bk_right.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://Holonomic/meshes/wheel_bk_right.STL,,Wheel Final-3/radial ball bearing_68_am-1;Wheel Final-3/Rollers-1;Wheel Final-3/radial ball bearing_68_am-2;Wheel Final-3/Spacer-1;Wheel Final-3/hex nut style 1_am-2;Wheel Final-3/hex nut style 1_am-1;Wheel Final-3/radial ball bearing_68_am-7;Wheel Final-3/radial ball bearing_68_am-5;Wheel Final-3/radial ball bearing_68_am-4;Wheel Final-3/radial ball bearing_68_am-6;Wheel Final-3/radial ball bearing_68_am-3;Wheel Final-3/hex nut style 1_am-10;Wheel Final-3/hex nut style 1_am-9;Wheel Final-3/hex nut style 1_am-11;Wheel Final-3/hex nut style 1_am-8;Wheel Final-3/radial ball bearing_68_am-14;Wheel Final-3/radial ball bearing_68_am-13;Wheel Final-3/hex nut style 1_am-12;Wheel Final-3/hex nut style 1_am-5;Wheel Final-3/hex nut style 1_am-4;Wheel Final-3/radial ball bearing_68_am-11;Wheel Final-3/hex nut style 1_am-13;Wheel Final-3/hex nut style 1_am-7;Wheel Final-3/hex nut style 1_am-6;Wheel Final-3/radial ball bearing_68_am-12;Wheel Final-3/radial ball bearing_68_am-10;Wheel Final-3/radial ball bearing_68_am-9;Wheel Final-3/radial ball bearing_68_am-8;Wheel Final-3/Rollers-5;Wheel Final-3/Rollers-10;Wheel Final-3/Rollers-2;Wheel Final-3/Rollers-4;Wheel Final-3/Rollers-Axis-12;Wheel Final-3/Rollers-8;Wheel Final-3/Rollers-9;Wheel Final-3/Rollers-12;Wheel Final-3/Rollers-7;Wheel Final-3/Rollers-Axis-11;Wheel Final-3/Rollers-11;Wheel Final-3/Rollers-6;Wheel Final-3/Rollers-Axis-9;Wheel Final-3/Rollers-Axis-10;Wheel Final-3/Rollers-Axis-6;Wheel Final-3/Rollers-Axis-5;Wheel Final-3/Rollers-3;Wheel Final-3/Rollers-Axis-4;Wheel Final-3/Rollers-Axis-7;Wheel Final-3/Rollers-Axis-8;Wheel Final-3/Rollers-Axis-3;Wheel Final-3/hex nut style 1_am-14;Wheel Final-3/radial ball bearing_68_am-22;Wheel Final-3/radial ball bearing_68_am-20;Wheel Final-3/radial ball bearing_68_am-16;Wheel Final-3/radial ball bearing_68_am-17;Wheel Final-3/hex nut style 1_am-18;Wheel Final-3/radial ball bearing_68_am-21;Wheel Final-3/hex nut style 1_am-20;Wheel Final-3/Rollers-Axis-2;Wheel Final-3/hex nut style 1_am-22;Wheel Final-3/hex nut style 1_am-17;Wheel Final-3/radial ball bearing_68_am-23;Wheel Final-3/radial ball bearing_68_am-24;Wheel Final-3/hex nut style 1_am-21;Wheel Final-3/hex nut style 1_am-16;Wheel Final-3/radial ball bearing_68_am-19;Wheel Final-3/hex nut style 1_am-24;Wheel Final-3/radial ball bearing_68_am-18;Wheel Final-3/radial ball bearing_68_am-15;Wheel Final-3/hex nut style 1_am-23;Wheel Final-3/hex nut style 1_am-19;Wheel Final-3/hex nut style 1_am-15;Wheel Final-3/Mecanum Sneh plate-1;Wheel Final-3/Rollers-Axis-1;Wheel Final-3/Mecanum Sneh plate-2;Wheel Final-3/hex nut style 1_am-3,Origin_Joint_bk_right,Axis_Joint_bk_right,joint_bk_right,continuous,0.195390712673452,-0.192499999999931,-0.0850000000000466,-1.5707963267949,0,-1.5707963267949,base_link,0,0,-1,,,,,,,,,,,,
wheel_fr_left,-4.71844785465692E-16,-4.9960036108132E-16,-0.0264433822598784,0,0,0,0.321375664058358,9.13370307716814E-05,-7.17357303924069E-19,2.64653797921656E-19,9.13370307716819E-05,-7.43055512799353E-17,0.000112444996454048,0,0,0,0,0,0,package://Holonomic/meshes/wheel_fr_left.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://Holonomic/meshes/wheel_fr_left.STL,,Wheel Final-1/radial ball bearing_68_am-1;Wheel Final-1/Rollers-1;Wheel Final-1/radial ball bearing_68_am-2;Wheel Final-1/Spacer-1;Wheel Final-1/hex nut style 1_am-2;Wheel Final-1/hex nut style 1_am-1;Wheel Final-1/radial ball bearing_68_am-7;Wheel Final-1/radial ball bearing_68_am-5;Wheel Final-1/radial ball bearing_68_am-4;Wheel Final-1/radial ball bearing_68_am-6;Wheel Final-1/radial ball bearing_68_am-3;Wheel Final-1/hex nut style 1_am-10;Wheel Final-1/hex nut style 1_am-9;Wheel Final-1/hex nut style 1_am-11;Wheel Final-1/hex nut style 1_am-8;Wheel Final-1/radial ball bearing_68_am-14;Wheel Final-1/radial ball bearing_68_am-13;Wheel Final-1/hex nut style 1_am-12;Wheel Final-1/hex nut style 1_am-5;Wheel Final-1/hex nut style 1_am-4;Wheel Final-1/radial ball bearing_68_am-11;Wheel Final-1/hex nut style 1_am-13;Wheel Final-1/hex nut style 1_am-7;Wheel Final-1/hex nut style 1_am-6;Wheel Final-1/radial ball bearing_68_am-12;Wheel Final-1/radial ball bearing_68_am-10;Wheel Final-1/radial ball bearing_68_am-9;Wheel Final-1/radial ball bearing_68_am-8;Wheel Final-1/Rollers-5;Wheel Final-1/Rollers-10;Wheel Final-1/Rollers-2;Wheel Final-1/Rollers-4;Wheel Final-1/Rollers-Axis-12;Wheel Final-1/Rollers-8;Wheel Final-1/Rollers-9;Wheel Final-1/Rollers-12;Wheel Final-1/Rollers-7;Wheel Final-1/Rollers-Axis-11;Wheel Final-1/Rollers-11;Wheel Final-1/Rollers-6;Wheel Final-1/Rollers-Axis-9;Wheel Final-1/Rollers-Axis-10;Wheel Final-1/Rollers-Axis-6;Wheel Final-1/Rollers-Axis-5;Wheel Final-1/Rollers-3;Wheel Final-1/Rollers-Axis-4;Wheel Final-1/Rollers-Axis-7;Wheel Final-1/Rollers-Axis-8;Wheel Final-1/Rollers-Axis-3;Wheel Final-1/hex nut style 1_am-14;Wheel Final-1/radial ball bearing_68_am-22;Wheel Final-1/radial ball bearing_68_am-20;Wheel Final-1/radial ball bearing_68_am-16;Wheel Final-1/radial ball bearing_68_am-17;Wheel Final-1/hex nut style 1_am-18;Wheel Final-1/radial ball bearing_68_am-21;Wheel Final-1/hex nut style 1_am-20;Wheel Final-1/Rollers-Axis-2;Wheel Final-1/hex nut style 1_am-22;Wheel Final-1/hex nut style 1_am-17;Wheel Final-1/radial ball bearing_68_am-23;Wheel Final-1/radial ball bearing_68_am-24;Wheel Final-1/hex nut style 1_am-21;Wheel Final-1/hex nut style 1_am-16;Wheel Final-1/radial ball bearing_68_am-19;Wheel Final-1/hex nut style 1_am-24;Wheel Final-1/radial ball bearing_68_am-18;Wheel Final-1/radial ball bearing_68_am-15;Wheel Final-1/hex nut style 1_am-23;Wheel Final-1/hex nut style 1_am-19;Wheel Final-1/hex nut style 1_am-15;Wheel Final-1/Mecanum Sneh plate-1;Wheel Final-1/Rollers-Axis-1;Wheel Final-1/Mecanum Sneh plate-2;Wheel Final-1/hex nut style 1_am-3,Origin_Joint_fr_left,Axis_Joint_fr_left,joint_fr_left,continuous,-0.195390712673501,0.172500000000024,-0.085000000000046,1.5707963267949,0,-1.5707963267949,base_link,0,0,1,,,,,,,,,,,,
wheel_bk_left,-3.33066907387547E-16,-2.77555756156289E-16,-0.0264433822598772,0,0,0,0.321375664058358,9.13370307716939E-05,9.27140008885393E-19,-4.22769019411976E-18,9.13370307716905E-05,-7.50392727488245E-17,0.00011244499645406,0,0,0,0,0,0,package://Holonomic/meshes/wheel_bk_left.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://Holonomic/meshes/wheel_bk_left.STL,,Wheel Final-2/radial ball bearing_68_am-1;Wheel Final-2/Rollers-1;Wheel Final-2/radial ball bearing_68_am-2;Wheel Final-2/Spacer-1;Wheel Final-2/hex nut style 1_am-2;Wheel Final-2/hex nut style 1_am-1;Wheel Final-2/radial ball bearing_68_am-7;Wheel Final-2/radial ball bearing_68_am-5;Wheel Final-2/radial ball bearing_68_am-4;Wheel Final-2/radial ball bearing_68_am-6;Wheel Final-2/radial ball bearing_68_am-3;Wheel Final-2/hex nut style 1_am-10;Wheel Final-2/hex nut style 1_am-9;Wheel Final-2/hex nut style 1_am-11;Wheel Final-2/hex nut style 1_am-8;Wheel Final-2/radial ball bearing_68_am-14;Wheel Final-2/radial ball bearing_68_am-13;Wheel Final-2/hex nut style 1_am-12;Wheel Final-2/hex nut style 1_am-5;Wheel Final-2/hex nut style 1_am-4;Wheel Final-2/radial ball bearing_68_am-11;Wheel Final-2/hex nut style 1_am-13;Wheel Final-2/hex nut style 1_am-7;Wheel Final-2/hex nut style 1_am-6;Wheel Final-2/radial ball bearing_68_am-12;Wheel Final-2/radial ball bearing_68_am-10;Wheel Final-2/radial ball bearing_68_am-9;Wheel Final-2/radial ball bearing_68_am-8;Wheel Final-2/Rollers-5;Wheel Final-2/Rollers-10;Wheel Final-2/Rollers-2;Wheel Final-2/Rollers-4;Wheel Final-2/Rollers-Axis-12;Wheel Final-2/Rollers-8;Wheel Final-2/Rollers-9;Wheel Final-2/Rollers-12;Wheel Final-2/Rollers-7;Wheel Final-2/Rollers-Axis-11;Wheel Final-2/Rollers-11;Wheel Final-2/Rollers-6;Wheel Final-2/Rollers-Axis-9;Wheel Final-2/Rollers-Axis-10;Wheel Final-2/Rollers-Axis-6;Wheel Final-2/Rollers-Axis-5;Wheel Final-2/Rollers-3;Wheel Final-2/Rollers-Axis-4;Wheel Final-2/Rollers-Axis-7;Wheel Final-2/Rollers-Axis-8;Wheel Final-2/Rollers-Axis-3;Wheel Final-2/hex nut style 1_am-14;Wheel Final-2/radial ball bearing_68_am-22;Wheel Final-2/radial ball bearing_68_am-20;Wheel Final-2/radial ball bearing_68_am-16;Wheel Final-2/radial ball bearing_68_am-17;Wheel Final-2/hex nut style 1_am-18;Wheel Final-2/radial ball bearing_68_am-21;Wheel Final-2/hex nut style 1_am-20;Wheel Final-2/Rollers-Axis-2;Wheel Final-2/hex nut style 1_am-22;Wheel Final-2/hex nut style 1_am-17;Wheel Final-2/radial ball bearing_68_am-23;Wheel Final-2/radial ball bearing_68_am-24;Wheel Final-2/hex nut style 1_am-21;Wheel Final-2/hex nut style 1_am-16;Wheel Final-2/radial ball bearing_68_am-19;Wheel Final-2/hex nut style 1_am-24;Wheel Final-2/radial ball bearing_68_am-18;Wheel Final-2/radial ball bearing_68_am-15;Wheel Final-2/hex nut style 1_am-23;Wheel Final-2/hex nut style 1_am-19;Wheel Final-2/hex nut style 1_am-15;Wheel Final-2/Mecanum Sneh plate-1;Wheel Final-2/Rollers-Axis-1;Wheel Final-2/Mecanum Sneh plate-2;Wheel Final-2/hex nut style 1_am-3,Origin_Joint_bk_left,Axis_Joint_bk_left,joint_bk_left,continuous,-0.195390712673501,-0.192499999999931,-0.085000000000046,1.5707963267949,0,-1.5707963267949,base_link,0,0,1,,,,,,,,,,,,
