Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,4.10852596388622E-09,0.138132047801609,-0.0286373816091294,0,0,0,4.06765972668113,0.070880196028319,-1.00494774701654E-18,-6.12703676459084E-14,0.0147342890344283,-2.84366609830377E-08,0.0852478897588496,0,0,0,0,0,0,package://holonomic_update_flok/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://holonomic_update_flok/meshes/base_link.STL,,Profile20_545mm-1;Profile20_500mm-5;Profile20_500mm-6;Profile20_545mm-2;Profile20_500mm-7;Profile20_500mm-8;Holonomic_rod-4;Holonomic_EncoderHolder-3;Profile20_500mm-4;Holonomic_EncoderHolder-2;Holonomic_rod-3;Holonomic_rod-1;Holonomic_EncoderHolder-1;Profile20_500mm-2;Holonomic_rod-2;Holonomic_EncoderHolder-4;Acrylic_fornt wheel-1;Profile20_260mm-2;Profile20_260mm-1;Profile20_550mm-3;Profile20_550mm-1;Profile20_550mm-2;Profile20_550mm-5;Profile20_550mm-4;Profile20_550mm-6,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
wheel_fr_right,-2.7756E-17,2.7756E-16,-0.026447,0,0,0,0.32138,9.1337E-05,-1.6659E-18,2.6903E-19,9.1337E-05,7.8331E-17,0.00011244,0,0,0,0,0,0,package://holonomic_update_flok/meshes/wheel_fr_right.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://holonomic_update_flok/meshes/wheel_fr_right.STL,,Wheel Final-4/radial ball bearing_68_am-1;Wheel Final-4/Rollers-1;Wheel Final-4/radial ball bearing_68_am-2;Wheel Final-4/Spacer-1;Wheel Final-4/hex nut style 1_am-2;Wheel Final-4/hex nut style 1_am-1;Wheel Final-4/radial ball bearing_68_am-7;Wheel Final-4/radial ball bearing_68_am-5;Wheel Final-4/radial ball bearing_68_am-4;Wheel Final-4/radial ball bearing_68_am-6;Wheel Final-4/radial ball bearing_68_am-3;Wheel Final-4/hex nut style 1_am-10;Wheel Final-4/hex nut style 1_am-9;Wheel Final-4/hex nut style 1_am-11;Wheel Final-4/hex nut style 1_am-8;Wheel Final-4/radial ball bearing_68_am-14;Wheel Final-4/radial ball bearing_68_am-13;Wheel Final-4/hex nut style 1_am-12;Wheel Final-4/hex nut style 1_am-5;Wheel Final-4/hex nut style 1_am-4;Wheel Final-4/radial ball bearing_68_am-11;Wheel Final-4/hex nut style 1_am-13;Wheel Final-4/hex nut style 1_am-7;Wheel Final-4/hex nut style 1_am-6;Wheel Final-4/radial ball bearing_68_am-12;Wheel Final-4/radial ball bearing_68_am-10;Wheel Final-4/radial ball bearing_68_am-9;Wheel Final-4/radial ball bearing_68_am-8;Wheel Final-4/Rollers-5;Wheel Final-4/Rollers-10;Wheel Final-4/Rollers-2;Wheel Final-4/Rollers-4;Wheel Final-4/Rollers-Axis-12;Wheel Final-4/Rollers-8;Wheel Final-4/Rollers-9;Wheel Final-4/Rollers-12;Wheel Final-4/Rollers-7;Wheel Final-4/Rollers-Axis-11;Wheel Final-4/Rollers-11;Wheel Final-4/Rollers-6;Wheel Final-4/Rollers-Axis-9;Wheel Final-4/Rollers-Axis-10;Wheel Final-4/Rollers-Axis-6;Wheel Final-4/Rollers-Axis-5;Wheel Final-4/Rollers-3;Wheel Final-4/Rollers-Axis-4;Wheel Final-4/Rollers-Axis-7;Wheel Final-4/Rollers-Axis-8;Wheel Final-4/Rollers-Axis-3;Wheel Final-4/hex nut style 1_am-14;Wheel Final-4/radial ball bearing_68_am-22;Wheel Final-4/radial ball bearing_68_am-20;Wheel Final-4/radial ball bearing_68_am-16;Wheel Final-4/radial ball bearing_68_am-17;Wheel Final-4/hex nut style 1_am-18;Wheel Final-4/radial ball bearing_68_am-21;Wheel Final-4/hex nut style 1_am-20;Wheel Final-4/Rollers-Axis-2;Wheel Final-4/hex nut style 1_am-22;Wheel Final-4/hex nut style 1_am-17;Wheel Final-4/radial ball bearing_68_am-23;Wheel Final-4/radial ball bearing_68_am-24;Wheel Final-4/hex nut style 1_am-21;Wheel Final-4/hex nut style 1_am-16;Wheel Final-4/radial ball bearing_68_am-19;Wheel Final-4/hex nut style 1_am-24;Wheel Final-4/radial ball bearing_68_am-18;Wheel Final-4/radial ball bearing_68_am-15;Wheel Final-4/hex nut style 1_am-23;Wheel Final-4/hex nut style 1_am-19;Wheel Final-4/hex nut style 1_am-15;Wheel Final-4/Mecanum Sneh plate-1;Wheel Final-4/Rollers-Axis-1;Wheel Final-4/Mecanum Sneh plate-2;Wheel Final-4/hex nut style 1_am-3,Origin_Joint_fr_right,Axis_Joint_fr_right,joint_fr_right,continuous,0.195390712673453,0.172500000000105,-0.0499999999993335,1.5707963267949,0,1.5707963267949,base_link,0,0,-1,,,,,,,,,,,,
wheel_bk_right,5.55111512312578E-17,-6.10622663543836E-16,-0.0264473304136225,0,0,0,0.321375664058358,9.13370307716787E-05,-1.37428919496607E-19,1.08252219380439E-19,9.13370307716799E-05,-7.64908464428148E-17,0.000112444996454045,0,0,0,0,0,0,package://holonomic_update_flok/meshes/wheel_bk_right.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://holonomic_update_flok/meshes/wheel_bk_right.STL,,Wheel Final-3/radial ball bearing_68_am-1;Wheel Final-3/Rollers-1;Wheel Final-3/radial ball bearing_68_am-2;Wheel Final-3/Spacer-1;Wheel Final-3/hex nut style 1_am-2;Wheel Final-3/hex nut style 1_am-1;Wheel Final-3/radial ball bearing_68_am-7;Wheel Final-3/radial ball bearing_68_am-5;Wheel Final-3/radial ball bearing_68_am-4;Wheel Final-3/radial ball bearing_68_am-6;Wheel Final-3/radial ball bearing_68_am-3;Wheel Final-3/hex nut style 1_am-10;Wheel Final-3/hex nut style 1_am-9;Wheel Final-3/hex nut style 1_am-11;Wheel Final-3/hex nut style 1_am-8;Wheel Final-3/radial ball bearing_68_am-14;Wheel Final-3/radial ball bearing_68_am-13;Wheel Final-3/hex nut style 1_am-12;Wheel Final-3/hex nut style 1_am-5;Wheel Final-3/hex nut style 1_am-4;Wheel Final-3/radial ball bearing_68_am-11;Wheel Final-3/hex nut style 1_am-13;Wheel Final-3/hex nut style 1_am-7;Wheel Final-3/hex nut style 1_am-6;Wheel Final-3/radial ball bearing_68_am-12;Wheel Final-3/radial ball bearing_68_am-10;Wheel Final-3/radial ball bearing_68_am-9;Wheel Final-3/radial ball bearing_68_am-8;Wheel Final-3/Rollers-5;Wheel Final-3/Rollers-10;Wheel Final-3/Rollers-2;Wheel Final-3/Rollers-4;Wheel Final-3/Rollers-Axis-12;Wheel Final-3/Rollers-8;Wheel Final-3/Rollers-9;Wheel Final-3/Rollers-12;Wheel Final-3/Rollers-7;Wheel Final-3/Rollers-Axis-11;Wheel Final-3/Rollers-11;Wheel Final-3/Rollers-6;Wheel Final-3/Rollers-Axis-9;Wheel Final-3/Rollers-Axis-10;Wheel Final-3/Rollers-Axis-6;Wheel Final-3/Rollers-Axis-5;Wheel Final-3/Rollers-3;Wheel Final-3/Rollers-Axis-4;Wheel Final-3/Rollers-Axis-7;Wheel Final-3/Rollers-Axis-8;Wheel Final-3/Rollers-Axis-3;Wheel Final-3/hex nut style 1_am-14;Wheel Final-3/radial ball bearing_68_am-22;Wheel Final-3/radial ball bearing_68_am-20;Wheel Final-3/radial ball bearing_68_am-16;Wheel Final-3/radial ball bearing_68_am-17;Wheel Final-3/hex nut style 1_am-18;Wheel Final-3/radial ball bearing_68_am-21;Wheel Final-3/hex nut style 1_am-20;Wheel Final-3/Rollers-Axis-2;Wheel Final-3/hex nut style 1_am-22;Wheel Final-3/hex nut style 1_am-17;Wheel Final-3/radial ball bearing_68_am-23;Wheel Final-3/radial ball bearing_68_am-24;Wheel Final-3/hex nut style 1_am-21;Wheel Final-3/hex nut style 1_am-16;Wheel Final-3/radial ball bearing_68_am-19;Wheel Final-3/hex nut style 1_am-24;Wheel Final-3/radial ball bearing_68_am-18;Wheel Final-3/radial ball bearing_68_am-15;Wheel Final-3/hex nut style 1_am-23;Wheel Final-3/hex nut style 1_am-19;Wheel Final-3/hex nut style 1_am-15;Wheel Final-3/Mecanum Sneh plate-1;Wheel Final-3/Rollers-Axis-1;Wheel Final-3/Mecanum Sneh plate-2;Wheel Final-3/hex nut style 1_am-3,Origin_Joint_bk_right,Axis_Joint_bk_right,joint_bk_right,continuous,0.195390712673453,-0.192499999999916,-0.0499999999992868,-1.5707963267949,0,-1.5707963267949,base_link,0,0,-1,,,,,,,,,,,,
wheel_fr_left,-2.4980018054066E-16,-4.9960036108132E-16,-0.0264433822598773,0,0,0,0.321375664058358,9.13370307716877E-05,-3.60087655180789E-19,1.28262856809876E-19,9.1337030771692E-05,-7.42631833022157E-17,0.000112444996454058,0,0,0,0,0,0,package://holonomic_update_flok/meshes/wheel_fr_left.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://holonomic_update_flok/meshes/wheel_fr_left.STL,,Wheel Final-1/radial ball bearing_68_am-1;Wheel Final-1/Rollers-1;Wheel Final-1/radial ball bearing_68_am-2;Wheel Final-1/Spacer-1;Wheel Final-1/hex nut style 1_am-2;Wheel Final-1/hex nut style 1_am-1;Wheel Final-1/radial ball bearing_68_am-7;Wheel Final-1/radial ball bearing_68_am-5;Wheel Final-1/radial ball bearing_68_am-4;Wheel Final-1/radial ball bearing_68_am-6;Wheel Final-1/radial ball bearing_68_am-3;Wheel Final-1/hex nut style 1_am-10;Wheel Final-1/hex nut style 1_am-9;Wheel Final-1/hex nut style 1_am-11;Wheel Final-1/hex nut style 1_am-8;Wheel Final-1/radial ball bearing_68_am-14;Wheel Final-1/radial ball bearing_68_am-13;Wheel Final-1/hex nut style 1_am-12;Wheel Final-1/hex nut style 1_am-5;Wheel Final-1/hex nut style 1_am-4;Wheel Final-1/radial ball bearing_68_am-11;Wheel Final-1/hex nut style 1_am-13;Wheel Final-1/hex nut style 1_am-7;Wheel Final-1/hex nut style 1_am-6;Wheel Final-1/radial ball bearing_68_am-12;Wheel Final-1/radial ball bearing_68_am-10;Wheel Final-1/radial ball bearing_68_am-9;Wheel Final-1/radial ball bearing_68_am-8;Wheel Final-1/Rollers-5;Wheel Final-1/Rollers-10;Wheel Final-1/Rollers-2;Wheel Final-1/Rollers-4;Wheel Final-1/Rollers-Axis-12;Wheel Final-1/Rollers-8;Wheel Final-1/Rollers-9;Wheel Final-1/Rollers-12;Wheel Final-1/Rollers-7;Wheel Final-1/Rollers-Axis-11;Wheel Final-1/Rollers-11;Wheel Final-1/Rollers-6;Wheel Final-1/Rollers-Axis-9;Wheel Final-1/Rollers-Axis-10;Wheel Final-1/Rollers-Axis-6;Wheel Final-1/Rollers-Axis-5;Wheel Final-1/Rollers-3;Wheel Final-1/Rollers-Axis-4;Wheel Final-1/Rollers-Axis-7;Wheel Final-1/Rollers-Axis-8;Wheel Final-1/Rollers-Axis-3;Wheel Final-1/hex nut style 1_am-14;Wheel Final-1/radial ball bearing_68_am-22;Wheel Final-1/radial ball bearing_68_am-20;Wheel Final-1/radial ball bearing_68_am-16;Wheel Final-1/radial ball bearing_68_am-17;Wheel Final-1/hex nut style 1_am-18;Wheel Final-1/radial ball bearing_68_am-21;Wheel Final-1/hex nut style 1_am-20;Wheel Final-1/Rollers-Axis-2;Wheel Final-1/hex nut style 1_am-22;Wheel Final-1/hex nut style 1_am-17;Wheel Final-1/radial ball bearing_68_am-23;Wheel Final-1/radial ball bearing_68_am-24;Wheel Final-1/hex nut style 1_am-21;Wheel Final-1/hex nut style 1_am-16;Wheel Final-1/radial ball bearing_68_am-19;Wheel Final-1/hex nut style 1_am-24;Wheel Final-1/radial ball bearing_68_am-18;Wheel Final-1/radial ball bearing_68_am-15;Wheel Final-1/hex nut style 1_am-23;Wheel Final-1/hex nut style 1_am-19;Wheel Final-1/hex nut style 1_am-15;Wheel Final-1/Mecanum Sneh plate-1;Wheel Final-1/Rollers-Axis-1;Wheel Final-1/Mecanum Sneh plate-2;Wheel Final-1/hex nut style 1_am-3,Origin_Joint_fr_left,Axis_Joint_fr_left,joint_fr_left,continuous,-0.1953907126735,0.172500000000105,-0.049999999999286,1.5707963267949,0,-1.5707963267949,base_link,0,0,1,,,,,,,,,,,,
wheel_bk_left,3.33066907387547E-16,-1.11022302462516E-16,-0.0264433822598772,0,0,0,0.321375664058358,9.13370307716783E-05,-3.06049241482693E-20,4.54787112568744E-19,9.13370307716817E-05,-7.42221339408628E-17,0.000112444996454046,0,0,0,0,0,0,package://holonomic_update_flok/meshes/wheel_bk_left.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://holonomic_update_flok/meshes/wheel_bk_left.STL,,Wheel Final-2/radial ball bearing_68_am-1;Wheel Final-2/Rollers-1;Wheel Final-2/radial ball bearing_68_am-2;Wheel Final-2/Spacer-1;Wheel Final-2/hex nut style 1_am-2;Wheel Final-2/hex nut style 1_am-1;Wheel Final-2/radial ball bearing_68_am-7;Wheel Final-2/radial ball bearing_68_am-5;Wheel Final-2/radial ball bearing_68_am-4;Wheel Final-2/radial ball bearing_68_am-6;Wheel Final-2/radial ball bearing_68_am-3;Wheel Final-2/hex nut style 1_am-10;Wheel Final-2/hex nut style 1_am-9;Wheel Final-2/hex nut style 1_am-11;Wheel Final-2/hex nut style 1_am-8;Wheel Final-2/radial ball bearing_68_am-14;Wheel Final-2/radial ball bearing_68_am-13;Wheel Final-2/hex nut style 1_am-12;Wheel Final-2/hex nut style 1_am-5;Wheel Final-2/hex nut style 1_am-4;Wheel Final-2/radial ball bearing_68_am-11;Wheel Final-2/hex nut style 1_am-13;Wheel Final-2/hex nut style 1_am-7;Wheel Final-2/hex nut style 1_am-6;Wheel Final-2/radial ball bearing_68_am-12;Wheel Final-2/radial ball bearing_68_am-10;Wheel Final-2/radial ball bearing_68_am-9;Wheel Final-2/radial ball bearing_68_am-8;Wheel Final-2/Rollers-5;Wheel Final-2/Rollers-10;Wheel Final-2/Rollers-2;Wheel Final-2/Rollers-4;Wheel Final-2/Rollers-Axis-12;Wheel Final-2/Rollers-8;Wheel Final-2/Rollers-9;Wheel Final-2/Rollers-12;Wheel Final-2/Rollers-7;Wheel Final-2/Rollers-Axis-11;Wheel Final-2/Rollers-11;Wheel Final-2/Rollers-6;Wheel Final-2/Rollers-Axis-9;Wheel Final-2/Rollers-Axis-10;Wheel Final-2/Rollers-Axis-6;Wheel Final-2/Rollers-Axis-5;Wheel Final-2/Rollers-3;Wheel Final-2/Rollers-Axis-4;Wheel Final-2/Rollers-Axis-7;Wheel Final-2/Rollers-Axis-8;Wheel Final-2/Rollers-Axis-3;Wheel Final-2/hex nut style 1_am-14;Wheel Final-2/radial ball bearing_68_am-22;Wheel Final-2/radial ball bearing_68_am-20;Wheel Final-2/radial ball bearing_68_am-16;Wheel Final-2/radial ball bearing_68_am-17;Wheel Final-2/hex nut style 1_am-18;Wheel Final-2/radial ball bearing_68_am-21;Wheel Final-2/hex nut style 1_am-20;Wheel Final-2/Rollers-Axis-2;Wheel Final-2/hex nut style 1_am-22;Wheel Final-2/hex nut style 1_am-17;Wheel Final-2/radial ball bearing_68_am-23;Wheel Final-2/radial ball bearing_68_am-24;Wheel Final-2/hex nut style 1_am-21;Wheel Final-2/hex nut style 1_am-16;Wheel Final-2/radial ball bearing_68_am-19;Wheel Final-2/hex nut style 1_am-24;Wheel Final-2/radial ball bearing_68_am-18;Wheel Final-2/radial ball bearing_68_am-15;Wheel Final-2/hex nut style 1_am-23;Wheel Final-2/hex nut style 1_am-19;Wheel Final-2/hex nut style 1_am-15;Wheel Final-2/Mecanum Sneh plate-1;Wheel Final-2/Rollers-Axis-1;Wheel Final-2/Mecanum Sneh plate-2;Wheel Final-2/hex nut style 1_am-3,Origin_Joint_bk_left,Axis_Joint_bk_left,joint_bk_left,continuous,-0.1953907126735,-0.192499999999917,-0.049999999999286,1.5707963267949,0,-1.5707963267949,base_link,0,0,1,,,,,,,,,,,,
